book	chapter	verse	figure	english_snippet	note	source
17-esther	5	11	doublet		The words **officials** and **administrators** mean similar things. If your language uses one word for these, you can combine them.	door43_utn
17-esther	6	3	hendiadys	What honor or great deed was done for Mordecai	**Honor** and **greatness** have similar meanings and they are used together to emphasize that Mordecai should certainly have been honored in some grand way for saving the king’s life. If your readers would misunderstand this, you can express this by putting the terms together. For example, you could say, “What great honor was done for Mordecai?” Alternate translation: “what did we do to reward Mordecai or to show that we appreciated what he did”	door43_utn
17-esther	7	3	hendiadys	Then … answered and said	Here a single idea is being expressed by using two words connected with “and.” Together the two words mean that Esther responded to the question that the king asked her. Alternate translation: “answered”	door43_utn
17-esther	7	4	doublet	for annihilation, for slaughter, and for destruction	As in [3:13](../03/13.md), these words mean the same thing and are used together to emphasize the completeness of the destruction. If using three words would be difficult or confusing in your language, you can use one word for this and indicate that the destruction is extreme. Alternate translation: “and they are going to kill every one of us” (A “doublet” can involve the use of more than two words.)	door43_utn
17-esther	7	5	doublet	Then … spoke and said	These two words mean the same thing. Alternate translation: “responded”	door43_utn
17-esther	7	6	doublet	A man, and adversary, and an enemy	These words mean the same thing. Together, they emphasize Haman’s complete hostility towards the Jews. If it is more natural in your language, you can combine them and indicate the emphasis in a different way. Alternate translation: “the one who is our absolute nemesis”	door43_utn
17-esther	8	11	doublet	to annihilate, and to slaughter, and to destroy	These words mean the same thing and are used together to emphasize the completeness of the destruction that is being described. See how you translated this in [3:13](../03/13.md) and [7:4](../07/04.md). Alternate translation: “completely destroy” (A “doublet” can involve the use of more than two words.)	door43_utn
17-esther	8	14	doublet	hastened and hurried	These two terms mean almost the same thing and are used together to emphasize the fact that the couriers were told to deliver the letters as quickly as possible. Alternate translation: “they went immediately” or “as quickly as possible”	door43_utn
17-esther	8	15	hendiadys	cheered and rejoiced	This phrase expresses a single idea by using two words connected with “and.” The word **rejoiced** tells how they cheered. If your readers would misunderstand this, you could express the meaning by saying something like “shouted joyfully.” Alternate translation: “cheered and were happy”	door43_utn
17-esther	8	16	doublet	there was light and joy	The terms **light** and **joy** refer to the same thing here. They are used together to emphasize the extreme happiness that the Jews felt. Alternate translation: “the Jews felt very happy”	door43_utn
17-esther	8	16	doublet	and rejoicing and honor	These terms have similar meaning and are used together with the previous doublet to emphasize again the great happiness and joy that the Jews felt.	door43_utn
17-esther	8	17	doublet	there was joy and rejoicing for the Jews	The terms **joy** and **rejoicing** have similar meaning and are used together to emphasize the great happiness and joy that the Jews felt. Alternate translation: “the Jews rejoiced greatly”	door43_utn
17-esther	8	17	doublet	a feast and a good day	These two terms mean something similar and are used together to emphasize the great happiness and joy that the Jews felt. Alternate translation: “and had festive celebrations”	door43_utn
17-esther	9	5	doublet	and slaughter, and destruction	These two words have the same meaning and are used together for emphasis. Alternate translation: “they destroyed them completely”	door43_utn
17-esther	9	6	doublet	slaughtered and destroyed	These two words have the same meaning and are used together for emphasis. Alternate translation: “killed”	door43_utn
17-esther	9	12	doublet	have slaughtered and destroyed	These terms mean the same thing and are used together for emphasis. Alternate translation: “killed”	door43_utn
17-esther	9	17	hendiadys	feasting and rejoicing	This phrase expresses a single idea by using two words connected with “and.” The word **rejoicing** tells how they celebrated. Alternate translation: “joyful celebration”	door43_utn
17-esther	9	18	hendiadys	feasting and rejoicing	This phrase means the same thing as in the previous verse. Alternate translation: “for feasting joyfully”	door43_utn
17-esther	9	19	hendiadys	for rejoicing and for feasting	As in verses 17 and 18, this means “by celebrating joyfully”	door43_utn
17-esther	9	20	merism	the near ones and the far ones	This is a figurative way of referring to something by speaking of two extreme parts of it in order to include everything in between. This expression means the Jews who lived in or near Susa, those who lived far away, and all Jews in between. Alternate translation: “everywhere they lived”	door43_utn
17-esther	9	22	hendiadys	feasting and rejoicing	As in verses 17, 18, and 19, this phrase expresses a single idea by using two words connected with “and.” The word “rejoicing” tells how the celebrating was to be done. Alternate translation: “joyful celebration” or “feasting joyfully”	door43_utn
17-esther	9	24	hendiadys	to vex them and to destroy them	The terms **vex** and **destroy** mean basically the same thing. They are used together to emphasize the degree to which Haman’s deadly plans were distressing to the Jews. If your readers would misunderstand this, you can combine the terms and express the emphasis with a word like “completely.” Alternate translation: “and completely destroy them”	door43_utn
17-esther	9	27	doublet	The Jews set up and accepted	“Set up” and “accepted” mean basically the same thing. The repetition is used to emphasize that the Jews definitely agreed to do this. If your readers would misunderstand this, you could combine these words. Alternate translation: “agreed to establish”	door43_utn
17-esther	9	28	doublet	So these days are remembered and are made	**Remembered** and **made** mean basically the same thing here. The repetition is used to emphasize that the Jews have been faithful in doing this. If your readers would misunderstand this, you could express the general meaning by saying something like “So the Jews have celebrated these days.” Alternate translation: “therefore they said that they would remember and celebrate on those two days”	door43_utn
17-esther	9	28	merism	province by province, and city by city	This could be a figure of speech that refers to something by speaking of two extreme parts of it in order to include everything in between those parts. Generally speaking, a province would be the largest division of the empire that would identify a person’s location, and a city would be the smallest. Particularly, since the Jews would continue to celebrate Purim after the Persian empire and its provinces no longer exist, you might choose to express the meaning of this figure of speech in a more general way. Alternate translation: “everywhere they have lived”	door43_utn
17-esther	10	1	merism	on the land and the islands of the sea	The purpose of this chapter is to describe the greatness of Mordecai. It does that by showing that he was second in command to a very powerful emperor. Referring to both the land and the sea is a way to include everything that lives in a very large area of the earth. If your readers would misunderstand this, you could express the general meaning by saying something like “everyone throughout his empire.” Alternate translation: “on all the people in the empire … even the people who lived on the islands in the Mediterranean Sea” or “on everyone throughout the land and even the far-away islands”	door43_utn
17-esther	10	2	doublet	And all the deeds of his power and his might	**Power** and **might** mean essentially the same thing. They are used together to emphasize how powerful King Ahasuerus was. If it is more natural in your language, you can use one word with that meaning, with another word that gives it emphasis. Alternate translation: “all that he achieved because of how very powerful he was” or “all the great things that he did because of his great power”	door43_utn
18-job	1	1	doublet	blameless and upright	The words “blameless” and “upright” share similar meanings and emphasize that Job was a righteous man. Alternate translation: “one who did what was right before God”	door43_utn
18-job	1	8	doublet	a blameless and upright man	The words “blameless” and “upright” share similar meanings and emphasize that Job was a righteous man. See how you translated this in [Job 1:1](../01/01.md). Alternate translation: “one who did what was right before God”	door43_utn
18-job	2	3	doublet	a blameless and upright man	The words “blameless” and “upright” share similar meanings and emphasize that Job was a righteous man. See how you translated a similar phrase in [Job 1:1](../01/01.md). Alternate translation: “one who did what was right before God”	door43_utn
18-job	2	11	doublet	to mourn with him and to comfort him	Here the words “mourn with” and “comfort” share similar meanings. The friends try to comfort Job by mourning with him. Alternate translation: “to grieve with Job in order to help ease his suffering”	door43_utn
18-job	3	19	merism	small and great people	This is a figure of speech which means “all people, both poor people and rich people.”	door43_utn
18-job	3	22	doublet	one who rejoices very much and is glad	The phrase “rejoices very much” means basically the same thing as “is glad.” Together, the two phrases emphasize the intensity of gladness. Alternate translation: “one who is extremely happy”	door43_utn
18-job	5	9	hendiadys	great and unsearchable things	Here the writer uses two independent words connected by “and” to emphasize the greatness of God’s actions. Alternate translation: “greatly profound things”	door43_utn
18-job	8	5	doublet	diligently sought God … presented your request to the Almighty	These two phrases both refer to Job asking God for help or pleading with God for mercy.	door43_utn
18-job	9	22	merism	he destroys blameless people and wicked people together	Here “blameless” and “wicked” are two extremes for a merism that include everything in between. Alternate translation: “he brings everyone to an end, whether they are blameless or wicked”	door43_utn
18-job	10	8	doublet	framed and fashioned me	“shaped and formed me.” The words “framed” and “fashioned” are similar in meaning.	door43_utn
18-job	10	21	doublet	of darkness and of the shadow of death	The phrase “shadow of death” intensifies the idea of “darkness.” Both phrases describe where the spirits of dead people go.	door43_utn
18-job	14	16	hendiadys	number and care for	These two verbs together express a single action. Alternate translation: “attentively care for”	door43_utn
18-job	14	18	doublet	mountains fall and come to nothing	“Come to nothing” here is an idiom meaning be completely destroyed. This phrase expands on the word “fall” and emphasizes complete destruction. Alternate translation: “mountains completely fall apart”	door43_utn
18-job	15	16	doublet	abominable and corrupt	These two words basically mean the same thing and emphasize how wicked humans are.	door43_utn
18-job	15	24	doublet	Distress and anguish make him afraid; they prevail against him	The words “distress” and “anguish” mean basically the same thing and emphasize the intensity of the emotion. Here these feelings are spoken of as if they were an enemy who is attacking the wicked man.	door43_utn
18-job	17	12	doublet	These people, these mockers	These two phrases refer to the same people, namely Job’s friends, Eliphaz, Bildad, and Zophar. The second phrase emphasizes their unfriendly attitude.	door43_utn
18-job	18	20	merism	Those who live in the west … those who live in the east will be frightened by it	The phrases “in the west” and “in the east” are together a merism that refers to all people living everywhere. This is an exaggeration as not everyone on the earth will hear about what happened to a specific wicked person. Alternate translation: “Everyone in the whole world will be horrified and frightened when they see what happens to the wicked person” or “Many people who live in the east and in the west will be horrified and frightened when they see what happens to the wicked person”	door43_utn
18-job	23	8	merism		Job continues speaking. He begins using a merism to say that he has looked everywhere.	door43_utn
18-job	23	9	merism	north … south	This is the end of the merism that begins with the words “eastward … westward” in verse 8. By mentioning these four directions, Job emphasizes that he has looked everywhere.	door43_utn
18-job	24	10	doublet	naked without clothing	The words “without clothing” mean the same thing as “naked.” Alternate translation: “completely naked” or “naked because they have no clothing”	door43_utn
18-job	24	14	doublet	poor and needy people	The words “poor” and “needy” refer to the same group of people and emphasize that these are people who are unable to help themselves.	door43_utn
18-job	24	19	hendiadys	drought and heat	These two words describe essentially the same weather and are used together to describe it fully.	door43_utn
18-job	28	3	doublet	obscurity … thick darkness	These two phrases are used together to emphasize that the mine is extremely dark.	door43_utn
18-job	33	31	doublet	Pay attention, Job, and listen to me	These phrases mean the same thing. Alternate translation: “Listen carefully to me, Job”	door43_utn
18-job	34	22	doublet	no darkness, no thick gloom	The words “thick gloom” mean basically the same thing as, and intensify, the word “darkness.”	door43_utn
18-job	36	5	doublet	he is mighty in strength of understanding	The phrase “mighty in strength” forms a doublet that means “very strong.” Elihu speaks of God understanding everything perfectly as if his understanding were very strong. Alternate translation: “he is very strong in understanding” or “he understands everything completely”	door43_utn
18-job	38	27	hendiadys	devastated and desolate	“ruined and wasted.” These two words have nearly the same meaning and emphasize the ruined and empty nature of these regions.	door43_utn
18-job	42	17	doublet	being old and full of days	The words “full of days” means basically the same thing as “being old.” The two phrases form a common idiom. Alternate translation: “a very old man”	door43_utn
19-psalms	4	8	doublet	make me safe and secure	The words “safe” and “secure” mean basically the same thing and emphasize complete safety. Alternate translation: “make me completely safe”	door43_utn
19-psalms	10	15	doublet	wicked and evil	These words have the same meaning. You can use one word to express both concepts.	door43_utn
19-psalms	18	2	doublet	my rock, my fortress	Here the words “rock” and “fortress” share similar meanings and emphasize that Yahweh provides safety from enemies.	door43_utn
19-psalms	18	7	doublet	the earth shook and trembled	The words “shook” and “trembled” mean basically the same thing and emphasize how greatly the earth shook. Alternate translation: “the land moved back and forth” or “the ground moved up and down” or “there was a violent earthquake”	door43_utn
19-psalms	20	2	doublet	holy place … Zion	Both of these refer to God’s temple in Jerusalem.	door43_utn
19-psalms	20	8	doublet	brought down and fall	Both these verbs mean basically the same thing. Both of these stand for losing in battle.	door43_utn
19-psalms	20	8	doublet	we will rise and stand upright	“we will get up and stand up straight.” These two phrases mean basically the same thing. Both of these stand for victory in battle.	door43_utn
19-psalms	21	13	doublet	we will sing and praise your power	The words “sing” and “praise” share similar meanings. Here the word “power” represents God and his power. Alternate translation: “with singing we will praise you because you are powerful”	door43_utn
19-psalms	22	2	merism	in the daytime … at night	The writer uses the words “daytime” and “night” to mean he prays to God all the time.	door43_utn
19-psalms	22	17	doublet	look and stare at me	The words “look” and “stare” mean basically the same thing and emphasize that people look at him awkwardly and make fun of him.	door43_utn
19-psalms	22	24	doublet	despised or abhorred	These two words mean basically the same thing and emphasize that God has not forgotten the one who is afflicted and suffering.	door43_utn
19-psalms	25	5	doublet	Guide me into your truth and teach me	Guide and teach mean the same thing, to give instruction. Alternate translation: “Instruct me to conduct my life by obeying your truth”	door43_utn
19-psalms	26	2	doublet	test the purity of my inner parts and my heart	Here “inner parts” and “heart” mean motives. Alternate translation: “test whether my motives are good”	door43_utn
19-psalms	27	2	doublet	my adversaries and my enemies	These words mean the same thing. These are the evildoers who came near to him.	door43_utn
19-psalms	27	9	doublet	forsake me or abandon me	The words “forsake” and “abandon” mean the same thing. The writer is emphasizing that he does not want God to leave him.	door43_utn
19-psalms	31	3	doublet	lead and guide me	The words “lead” and “guide” mean basically the same thing and strengthen the request that Yahweh lead him. Alternate translation: “lead me where you want me to go”	door43_utn
19-psalms	31	7	doublet	I will be glad and rejoice in your covenant faithfulness	The words “glad” and “rejoice” share similar meanings and emphasize the intensity of joy. If your language does not use an abstract noun for the idea behind the word **faithfulness**, you could express the same idea with an adjective. Alternate translation: “I will be very glad because you are faithful to your covenant”	door43_utn
19-psalms	32	4	merism	day and night	These extremes include everything in between. Alternate translation: “all the time”	door43_utn
19-psalms	32	8	doublet	I will instruct you and teach you in the way	The words “instruct” and “teach” mean basically the same thing and emphasize careful instruction. Alternate translation: “I will teach you everything about the way”	door43_utn
19-psalms	35	10	doublet	the poor and needy	The words “poor” and “needy” mean basically the same thing and emphasize that Yahweh saves many who need his help.	door43_utn
19-psalms	35	26	doublet	shame and dishonor	These terms mean about the same thing and are used to emphasize how degraded they will be.	door43_utn
19-psalms	37	14	doublet	the oppressed and needy	These terms both refer to people who are powerless to defend themselves. Alternate translation: “people who are not able to resist them”	door43_utn
19-psalms	37	21	doublet	is generous and gives	These mean the same thing and emphasize the generosity of the righteous.	door43_utn
19-psalms	39	2	doublet	I kept silent; I kept back my words	These two phrases mean the same thing and emphasize that the writer did not speak at all. Alternate translation: “I was completely silent”	door43_utn
19-psalms	40	1	doublet	he listened to me … heard my cry	These mean the same thing, and can be combined into one statement. Alternate translation: “he listened to me when I called out to him”	door43_utn
19-psalms	40	16	doublet	rejoice and be glad	These two phrases mean the same thing and emphasize the intensity of joy. Alternate translation: “be very joyful”	door43_utn
19-psalms	40	17	doublet	poor and needy	These words mean the same thing and emphasize how helpless the writer is. Alternate translation: “very needy”	door43_utn
19-psalms	41	13	doublet	Amen and Amen	The word “Amen” is repeated to emphasize approval of what has been said. Alternate translation: “May it certainly be so”	door43_utn
19-psalms	41	13	merism	from everlasting to everlasting	This refers to two extremes and means for all time. Alternate translation: “for all eternity”	door43_utn
19-psalms	42	3	merism	day and night	This phrase refers to the entire day by referring to both its beginning and end. Alternate translation: “all day long”	door43_utn
19-psalms	42	4	hendiadys	joy and praise	This phrase uses two different words to express one idea. Alternate translation: “joyful praise”	door43_utn
19-psalms	42	7	doublet	your waves and your billows	The word “billows” is another word for “waves.” Together the two words emphasize the greatness of the waves. Alternate translation: “all of your great waves”	door43_utn
19-psalms	43	5	doublet	my salvation and my God	The phrase “my salvation” refers to God. If necessary the two phrases can be combined. Alternate translation: “my God who saves me”	door43_utn
19-psalms	44	16	doublet	rebukes and insults	These words have similar meanings and emphasize the harsh nature of what this person says.	door43_utn
19-psalms	45	15	doublet	gladness and rejoicing	These two words mean basically the same thing and emphasize the intensity of gladness. Alternate translation: “great gladness”	door43_utn
19-psalms	49	2	merism	rich and poor together	Together the words “rich” and “poor” refer to all people, regardless of wealth. Alternate translation: “all people”	door43_utn
19-psalms	49	10	merism	Wise men die; the fool and the brute alike perish	The author refers to all people by referring to those who have the most and least wisdom.	door43_utn
19-psalms	50	1	merism	from the rising of the sun to its setting	This phrase refers to the directions east, where the sun rises, and west, where the sun sets. The writer uses these two extremes to represent everywhere on earth. Alternate translation: “everywhere on earth”	door43_utn
19-psalms	51	8	doublet	joy and gladness	These two words mean basically the same thing and emphasize his desire to hear joyful things.	door43_utn
19-psalms	57	4	doublet	spears and arrows	Since both of these terms are weapons, if your culture knows only one, it is acceptable to use it alone.	door43_utn
19-psalms	61	1	doublet	Hear my cry, God; attend to my prayer	These clauses have a similar meaning. Alternate translation: “God, listen to me and answer my prayer”	door43_utn
19-psalms	62	9	merism	men of low standing … men of high standing are a lie	This refers to men of all levels of wealth and importance. The phrases “are vanity” and “are a lie” have the same meaning. One cannot confidently trust in anyone. Alternate translation: “you cannot place your trust in men, no matter how important they are”	door43_utn
19-psalms	62	10	doublet	oppression or robbery	These two words have basically the same meaning. You cannot trust in money that you get by taking it from other people.	door43_utn
19-psalms	64	6	doublet	inner thoughts … hearts of man	Both of these phrases refer to man’s private or inner thoughts.	door43_utn
19-psalms	65	5	doublet	of all the ends of the earth … across the sea	These two phrases have similar meanings. Alternate translation: “of all the people who live throughout the earth and across the sea”	door43_utn
19-psalms	68	3	doublet	rejoice and be happy	These means the same thing and emphasizes the amount of joy they feel.	door43_utn
19-psalms	68	35	doublet	strength and power	These two words mean basically these same thing. They emphasize how much strength God provides to his people.	door43_utn
19-psalms	70	4	doublet	rejoice and be glad	These two phrases mean basically the same thing and emphasize the intensity of gladness. Alternate translation: “rejoice greatly” or “be very glad”	door43_utn
19-psalms	70	5	doublet	poor and needy	Here the words “poor” and “needy” mean basically the same thing and emphasize that he is unable to help himself. Alternate translation: “very needy”	door43_utn
19-psalms	71	21	hendiadys	turn again and comfort me	This describes one action through two phrases. Alternate translation: “comfort me again”	door43_utn
19-psalms	72	8	merism	from sea to sea, and from the River to the ends of the earth	Both of these expressions are merisms and refer to the whole earth.	door43_utn
19-psalms	72	13	doublet	the poor and needy	Here the nominal adjectives “poor” and “needy” mean basically the same thing and emphasize that they are unable to help themselves. Alternate translation: “those who are poor and those who are needy”	door43_utn
19-psalms	72	14	doublet	oppression and violence	These two words mean basically the same thing and emphasize how badly the needy suffer. These abstract nouns can be stated as verbs. Alternate translation: “those who oppress them and hurt them”	door43_utn
19-psalms	73	22	doublet	ignorant and lacked insight	These two phrases mean basically the same thing and emphasize how little he knew. Alternate translation: “very ignorant”	door43_utn
19-psalms	73	26	doublet	My flesh and my heart	These two phrases share similar meanings. Together they represent the whole person. Alternate translation: “My body and my mind”	door43_utn
19-psalms	74	21	doublet	the poor and oppressed	The words “poor” and “oppressed” mean basically the same thing and emphasize that Yahweh saves many who need his help. See how these words are translated in [Psalms 35:10](../035/010.md).	door43_utn
19-psalms	76	4	doublet	You shine brightly and reveal your glory	The second phrase strengthens the first phrase in that Yahweh’s glory relates to Yahweh shining brightly.	door43_utn
19-psalms	77	7	doublet	Will the Lord reject me forever? Will he never again show me favor?	These two phrases express feeling rejection from the Lord.	door43_utn
19-psalms	77	9	doublet	Had God forgotten to be gracious? Had his anger shut off his compassion?	These are two expressions stating similar concept of God not showing compassion.	door43_utn
19-psalms	77	12	doublet	I will ponder all your deeds and will reflect on them.	These two phrases express the concept of meditating on what Yahweh has done.	door43_utn
19-psalms	77	16	doublet	the waters saw you, and they were afraid; the depths trembled	“water” and “depth” refers to large bodies of water such as the sea or ocean.	door43_utn
19-psalms	77	19	doublet	Your path … your way	These two phrases have similar meanings and are combined for emphasis.	door43_utn
19-psalms	78	56	doublet	challenged and defied	These words mean almost the same thing. The writer uses them both to emphasize that the Israelites did not believe that God would either provide for them or punish evil as he had said he would.	door43_utn
19-psalms	78	57	doublet	were unfaithful and acted treacherously	These words mean almost the same thing. The writer uses them both to emphasize that the Israelites did not do for God what they had said they would do.	door43_utn
19-psalms	88	1	merism	day and night	The writer uses these words with opposite meanings to say that he cries out continually.	door43_utn
19-psalms	89	12	merism	the north and the south	The writer uses the words “north” and “south” together to mean that God created everything everywhere.	door43_utn
19-psalms	90	6	doublet	it blooms and grows up	Both of these phrases refer to how the grass grows. Alternate translation: “it begins to grow and develop”	door43_utn
19-psalms	90	6	doublet	it withers and dries up	Both of these phrases refer to how the grass dies. Alternate translation: “it fades and dries up”	door43_utn
19-psalms	91	5	merism	in the night … by day	These two phrases taken together refer to all possible times of night and day.	door43_utn
19-psalms	91	6	merism	in the darkness … at noontime	These two phrases taken together refer to all possible times of night and day.	door43_utn
19-psalms	93	4	doublet	Above the crashing of many waves, the mighty breakers of the sea	The phrase “the mighty breakers of the sea” means basically the same thing as “many waves” and emphasizes how great these waves are. Alternate translation: “Above the crashing of all of the very great waves of the sea”	door43_utn
19-psalms	101	5	doublet	a proud demeanor and an arrogant attitude	These two phrases mean basically the same thing and emphasize how prideful such people are.	door43_utn
19-psalms	103	17	merism	is from everlasting to everlasting	This means that Yahweh’s love continues forever. Alternate translation: “will continue forever”	door43_utn
19-psalms	104	1	doublet	you are clothed with splendor and majesty	The words “splendor” and “majesty” have similar meanings and emphasize the greatness of Yahweh’s glory. They are described as clothing Yahweh like a garment. Alternate translation: “you have splendor and majesty all around you”	door43_utn
19-psalms	104	25	doublet	deep and wide	“it is very deep and very wide.” The depth and width of the sea emphasizes how large it is.	door43_utn
19-psalms	104	25	merism	both small and great	This means creatures of all sizes.	door43_utn
19-psalms	106	48	merism	from everlasting to everlasting	This refers to two extremes and means for all time. See how you translated this in [Psalms 41:13](../041/013.md). Alternate translation: “for all eternity”	door43_utn
19-psalms	107	3	merism	from the east … and from the south	Here the four directions are given to emphasize that he gather them from everywhere. Alternate translation: “from every direction” or “from every part of the world”	door43_utn
19-psalms	107	10	doublet	in darkness and in gloom	Both “darkness” and “gloom” have basically the same meaning and are used to emphasize how dark the prison was. Alternate translation: “in complete darkness”	door43_utn
19-psalms	107	14	doublet	darkness and gloom	Both “darkness” and “gloom” have basically the same meaning and are used to emphasize how dark the prison was. See how you translated this in [Psalms 107:10](../107/010.md). Alternate translation: “complete darkness”	door43_utn
19-psalms	109	22	doublet	oppressed and needy	These two words have similar meanings and emphasize that he is unable to help himself.	door43_utn
19-psalms	111	1	doublet	in the assembly of the upright, in their gathering	These two phrases mean that same thing and may be combined if necessary. Alternate translation: “in the gathering of upright people”	door43_utn
19-psalms	113	3	merism	From the rising of the sun to its setting	This phrase refers to the directions east, where the sun rises, and west, where the sun sets. The writer uses these two extremes to represent everywhere on earth. See how you translated this in [Psalms 50:1](../050/001.md). Alternate translation: “Everywhere on earth”	door43_utn
19-psalms	115	1	doublet	Not to us, Yahweh, not to us	The writer repeats the phrase “Not to us” in order to emphasize that they are not worthy to receive the honor that is due only to Yahweh. If necessary, a verbal phrase may be supplied here. Alternate translation: “Do not bring honor to us, Yahweh”	door43_utn
19-psalms	115	13	merism	both young and old	“both small and great.” Possible meanings are that this refers: (1) to social status or (2) to age. In either case, the two extremes represent every person, regardless of age or social status.	door43_utn
19-psalms	118	17	doublet	I will not die, but live	The writer states the same idea both negatively and positively to emphasize that he will certainly live.	door43_utn
19-psalms	118	24	doublet	rejoice and be glad	These two phrases mean basically the same thing and emphasize the intensity of joy. Alternate translation: “be very glad”	door43_utn
19-psalms	119	60	doublet	I hurry and do not delay	The writer expresses the same idea both positively and negatively in order to emphasize the urgency with which he obeys Yahweh’s commands.	door43_utn
19-psalms	119	105	doublet	Your word is a lamp to my feet and a light for my path	These two phrases have similar meanings. They speak about God telling a person how to live as if the person were walking on a path and God’s words were a light that helps the person see where to go. Alternate translation: “Your words tell me how to live my life”	door43_utn
19-psalms	119	163	doublet	hate and despise	These two words mean almost the same thing. Alternate translation: “hate very strongly”	door43_utn
19-psalms	121	4	doublet	never slumbers or sleeps	These two words mean the same thing. Here to “slumber” means to stop protecting. The negative form strengthens the statement. Alternate translation: “will not sleep and stop protecting you” or “will always protect you”	door43_utn
19-psalms	121	6	merism	The sun will not harm you by day, nor the moon by night	The contrasting terms “day” and “night” refer to those extremes and everything in between. Alternate translation: “God protects you from the elements at all times”	door43_utn
19-psalms	125	2	merism	now and forever	Here, this phrase means “always.”	door43_utn
19-psalms	128	2	doublet	you will be blessed and prosper	The words “be blessed” and “prosper” share similar meanings and emphasize God’s favor. Alternate translation: “Yahweh will bless you and prosper you” or “Yahweh will make you blessed and prosperous”	door43_utn
19-psalms	134	3	merism	heaven and earth	The phrase “heaven and earth” here represents all things. Alternate translation: “everything in heaven and earth”	door43_utn
19-psalms	135	9	doublet	signs and wonders	These two words mean basically the same thing and refer to the miraculous troubles that God had caused in Egypt.	door43_utn
19-psalms	139	2	merism	when I sit down and when I get up	The psalmist uses these two actions to represent everything he does. Alternate translation: “everything I do” or “everything about me”	door43_utn
19-psalms	142	1	doublet	I cry out for help to Yahweh … I plead for Yahweh’s favor	If these two lines are so much the same that the reader will get the wrong meaning, you can translate them as one line.	door43_utn
19-psalms	142	2	doublet	pour out my lament before him … I tell him my troubles	If these two lines are so much the same that the reader will get the wrong meaning, you can translate them as one line.	door43_utn
19-psalms	144	3	doublet	man … son of man	two words for human beings.	door43_utn
19-psalms	146	6	merism	Yahweh made heaven and earth	The words “heaven” and “earth” represent everything that exists in the physical universe.	door43_utn
19-psalms	147	19	doublet	his statutes and his righteous decrees	The words “statutes” and “righteous decrees,” along with “word” in the previous line, all refer to the law of Moses. If your language does not have different words for these terms, you may combine the two lines into one, using either “Jacob” or “Israel” for the people who received them.	door43_utn
19-psalms	148	10	merism	animals wild and tame	The words “wild” and “tame” are opposites. Together they encompass all animals. Alternate translation: “all animals”	door43_utn
19-psalms	148	12	merism	young men and young women, elderly and children	The writer uses two merisms, one related to gender and one related to age, to represent every person.	door43_utn
20-proverbs	3	2	doublet	for the length of your days and years of your life	These two phrases share similar meanings and refer to the duration of a person’s life. Alternate translation: “all your life” or “as long as you live”	door43_utn
20-proverbs	4	3	hendiadys	the tender and only child	Here the word “tender” refers to a young age at which the child is still weak. It forms a hendiadys with the word “only.” Alternate translation: “the tender only child”	door43_utn
20-proverbs	4	27	merism	Do not turn aside to the right or to the left	The directions “right” and “left” form a merism, meaning that the person is not to leave the level path in any direction. Alternate translation: “Walk straight ahead and do not leave the level path”	door43_utn
20-proverbs	5	11	doublet	your flesh and your body waste away	The words “flesh” and “body” mean basically the same thing and represent the whole person. Alternate translation: “your body wastes away” or “you waste away”	door43_utn
20-proverbs	6	7	doublet	commander, officer, or ruler	These three words mean basically the same thing and are used to emphasized that no one has formal authority over an individual ant.	door43_utn
20-proverbs	6	12	doublet	A worthless person—a wicked man	These two words have the same meaning and emphasize how bad this person is. Alternate translation: “A person with no value—an evil man”	door43_utn
20-proverbs	15	11	doublet	Sheol and destruction are open before Yahweh	The words “Sheol and destruction” both refer to the place of the dead. Yahweh knowing everything about the place of the dead is spoken of as if it were open before Yahweh. Alternate translation: “Yahweh knows everything about the place where dead people are”	door43_utn
20-proverbs	18	3	doublet	shame and reproach	These two words have similar meaning and are used together to emphasize the “shame” felt by either the wicked man or other people.	door43_utn
20-proverbs	20	11	doublet	pure and upright	These two words basically mean the same thing and emphasize how good this young person is. They can be combined into one word if necessary. Alternate translation: “pure”	door43_utn
20-proverbs	21	23	doublet	Whoever guards his mouth and tongue	Both “mouth” and “tongue” refer to what a person says. Alternate translation: “Whoever is careful in what he says”	door43_utn
20-proverbs	21	24	doublet	proud and haughty	These two words mean basically the same thing and emphasize how prideful the person is.	door43_utn
20-proverbs	23	27	merism	prostitute … immoral woman	There are two types of sexually immoral women. The “prostitute” is unmarried, “another man’s wife” is married. Together they form a merism for any kind of sexually immoral woman.	door43_utn
20-proverbs	31	9	doublet	poor and needy people	These two words have basically the same meaning and are used together for emphasis. Alternate translation: “people who are poor and cannot get the things that they need”	door43_utn
21-ecclesiastes	1	13	doublet	to study and to search out	These two phrases mean the same thing and emphasize how diligently he studied.	door43_utn
21-ecclesiastes	1	17	doublet	madness and folly	The words “madness” and “folly” share similar meanings and refer to foolish thinking and behavior, respectively.	door43_utn
21-ecclesiastes	2	5	doublet	gardens and parks	These two words share similar meanings and refer to beautiful orchards of fruit trees.	door43_utn
21-ecclesiastes	2	12	doublet	madness and folly	The words “madness” and “folly” have similar meanings and refer to foolish thinking and behavior, respectively. See how you translated this in [Ecclesiastes 1:17](../01/17.md).	door43_utn
21-ecclesiastes	2	23	doublet	painful and stressful	These two words mean basically the same thing and emphasize how difficult the person’s work is.	door43_utn
21-ecclesiastes	3	1	merism	General Information:	The writer uses merisms to describe various aspects of life from one extreme to the other.	door43_utn
